[2023-03-28 12:54:32,650] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,691] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,730] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,771] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,810] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,849] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,892] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,932] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:32,970] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,011] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,051] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,092] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,133] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,173] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,213] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,254] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,295] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,321] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,361] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,401] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,440] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,479] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(XQ4kFpSuS2uYb54FQVlW7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-03-28 12:54:33,527] INFO [Broker id=0] Finished LeaderAndIsr request in 2177ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2023-03-28 12:54:33,545] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 6 with correlation id 2 (state.change.logger)
